user,FFT 5 FMR,Nickel FMR,Kwapisz FMR
0,0.0007369196757553427,0.028371407516580693,0.07037582903463523
1,0.28224023581429625,0.009211495946941784,0.023212969786293294
2,0.794767870302137,0.7490788504053059,0.026529108327192335
3,0.0,0.05379513633014001,0.09285187914517318
4,0.12785556374355195,0.10906411201179071,0.0007369196757553427
5,0.26529108327192336,0.001105379513633014,0.32792925571112747
6,0.2984524686809138,0.00847457627118644,0.006263817243920413
7,0.5961680176860722,0.9922623434045689,0.9841562269712602
8,0.061164333087693444,0.12490788504053059,0.7468680913780398
9,0.2442888725128961,0.002579218865143699,0.0
10,0.07700810611643331,0.27671333824613115,0.0018422991893883567
11,0.5117907148120855,0.7008106116433309,0.0
12,0.612011790714812,0.0,0.03795136330140015
13,0.6145910095799558,0.0,0.0007369196757553427
14,0.21775976418570375,0.43773028739867353,0.391304347826087
15,0.002579218865143699,0.0007369196757553427,0.5961680176860722
16,0.3610906411201179,0.0036845983787767134,0.01694915254237288
17,0.4012527634487841,0.13301400147383935,0.6993367722918202
18,0.23949889462048637,0.9675755342667649,0.9716285924834193
19,0.10648489314664701,0.42446573323507736,0.0007369196757553427
20,0.002210759027266028,0.023581429624170966,0.0007369196757553427
21,0.2848194546794399,0.3920412675018423,0.8809874723655121
22,0.3747236551215917,0.07553426676492263,0.00036845983787767134
23,0.2008106116433309,0.014369933677229182,0.005158437730287398
