user,FFT 5 BAcc,FFT full BAcc,Nickel BAcc,Kwapisz BAcc,Raw BAcc,Raw Resultant BAcc,Raw Means BAcc
0,0.7835298452468681,0.7835298452468681,0.8321665438467207,0.8025055268975682,0.6284082535003684,0.6989683124539425,0.5442151805453206
1,0.5720338983050848,0.5720338983050848,0.6306190125276345,0.7781871775976419,0.5915622697126013,0.5256079587324982,0.5340825350036846
2,0.712969786293294,0.712969786293294,0.9808400884303611,0.9791820191599115,0.6717022844509948,0.7039425202652911,0.5801400147383935
3,0.9169123065585851,0.9169123065585851,0.9432571849668386,0.9294399410464259,0.705232129697863,0.6226971260132645,0.5641120117907148
4,0.554900515843773,0.554900515843773,0.559322033898305,0.5093957258658807,0.44141488577745025,0.5281871775976419,0.529108327192336
5,0.5202652910832719,0.5202652910832719,0.7678703021370671,0.5092114959469418,0.5534266764922624,0.6145910095799558,0.5215549005158437
6,0.505526897568165,0.505526897568165,0.6540162122328665,0.5782977155490051,0.5869565217391304,0.5184229918938836,0.5044215180545321
7,0.6221444362564481,0.6221444362564481,0.7938467207074429,0.7910832719233604,0.7127855563743551,0.6862564480471629,0.6101694915254237
8,0.8927781871775976,0.8927781871775976,0.5320560058953574,0.6573323507737656,0.6774134119380988,0.7286293294030951,0.5261606484893147
9,0.8360353721444362,0.8360353721444362,0.894620486366986,0.8741709653647752,0.6606484893146647,0.538135593220339,0.5117907148120855
10,0.7840825350036846,0.7840825350036846,0.8695652173913043,0.8680913780397936,0.7776344878408253,0.794767870302137,0.6230655858511422
11,0.8675386882829772,0.8675386882829772,0.9364406779661016,0.932756079587325,0.7636330140014739,0.7481577008106117,0.6256448047162859
12,0.6908621960206338,0.6908621960206338,0.918201915991157,0.9340456890198968,0.6985998526160648,0.6586219602063375,0.6103537214443626
13,0.6814664701547531,0.6814664701547531,0.8445099484156227,0.9351510685335298,0.6892041267501843,0.6236182756079587,0.5952468680913781
14,0.5644804716285925,0.5644804716285925,0.7302873986735445,0.6969417833456153,0.6974944731024318,0.6486735445836403,0.5948784082535004
15,0.4872881355932204,0.4872881355932204,0.48305084745762716,0.45965364775239503,0.5600589535740604,0.5593220338983051,0.4762343404568903
16,0.8246131171702284,0.8246131171702284,0.5176860722181282,0.5889830508474576,0.563927781871776,0.5394252026529108,0.4281503316138541
17,0.6993367722918202,0.6993367722918202,0.736551215917465,0.7428150331613854,0.5598747236551216,0.5484524686809138,0.5423728813559322
18,0.8520633750921149,0.8520633750921149,0.9544952100221076,0.9498894620486367,0.8189019896831246,0.8492999263080324,0.6890198968312454
19,0.6061164333087693,0.6061164333087693,0.47531319086219603,0.4832350773765659,0.4707074428887251,0.5029476787030214,0.5779292557111275
20,0.6654384672070744,0.6654384672070744,0.6586219602063376,0.6123802505526899,0.578481945467944,0.6941783345615328,0.5377671333824614
21,0.6704126750184229,0.6704126750184229,0.7647383935151069,0.7652910832719233,0.7275239498894621,0.7494473102431835,0.6354089904200442
22,0.8122697126013265,0.8122697126013265,0.6390935887988209,0.8826455416359617,0.5303979366249079,0.5913780397936625,0.5595062638172439
23,0.6851510685335298,0.6851510685335298,0.5851142225497421,0.5272660280029476,0.6320928518791451,0.6127487103905674,0.5735077376565955
