user,FFT 5 BAcc,Nickel BAcc,Kwapisz BAcc
0,0.4996315401621223,0.4985261606484893,0.5283714075165806
1,0.4732866617538689,0.4996315401621223,0.49263080324244657
2,0.5517686072218129,0.48986735445836405,0.4867354458364038
3,0.5,0.47310243183492995,0.46204863669859986
4,0.550478997789241,0.45817980840088435,0.4996315401621223
5,0.49023581429624175,0.49944731024318345,0.4334929992630804
6,0.45670596904937355,0.4957627118644068,0.5053426676492262
7,0.511238025055269,0.5038688282977155,0.50792188651437
8,0.5329771554900515,0.5265291083271924,0.3596168017686072
9,0.5727708179808402,0.49871039056742816,0.5
10,0.4911569638909359,0.4718128224023581,0.49907885040530586
11,0.6551215917464996,0.43349299926308027,0.5
12,0.5287398673544583,0.5,0.7310243183492999
13,0.4935519528371407,0.5,0.4996315401621223
14,0.5478997789240974,0.6752026529108327,0.42722918201915994
15,0.49871039056742816,0.4996315401621223,0.5408990420044215
16,0.5397936624907884,0.4981577008106116,0.5338983050847458
17,0.6044583640383199,0.43349299926308027,0.5952468680913781
18,0.5412675018422992,0.5035003684598378,0.5141857037582904
19,0.5060795873249816,0.44030950626381726,0.4996315401621223
20,0.498894620486367,0.5051584377302873,0.4996315401621223
21,0.7135224760501105,0.5073691967575534,0.5467943994104643
22,0.5880619012527635,0.5300294767870302,0.49981577008106115
23,0.4716285924834194,0.4970523212969786,0.4974207811348563
